Designator,Value,Package,Mid X (mm),Mid Y (mm),Layer,Rotation
C1,10uF,R0805,72.549,76.2,Bottom,180
C10,220pF,RESISTOR_0603,8.255,48.26,Bottom,0
C11,10uF,R0805,26.67,69.215,Bottom,270
C12,10uF,R0805,19.685,50.165,Bottom,0
C13,10uF,R0805,8.255,50.165,Bottom,0
C14,100nF,RESISTOR_0603,24.765,69.215,Bottom,270
C15,10uF,R0805,40.64,78.105,Bottom,180
C16,100nF,RESISTOR_0603,40.64,80.01,Bottom,180
C17,100nF,RESISTOR_0603,8.255,42.545,Bottom,180
C18,100nF,RESISTOR_0603,19.685,38.735,Bottom,180
C19,100nF,RESISTOR_0603,75.565,8.255,Bottom,90
C2,10uF,R0805,36.83,66.04,Bottom,90
C20,100nF,RESISTOR_0603,79.375,19.685,Bottom,90
C21,10uF,R0805,79.375,52.07,Bottom,270
C22,100nF,RESISTOR_0603,81.28,52.07,Bottom,270
C23,10uF,R0805,40.64,73.66,Bottom,0
C24,10uF,R0805,40.64,69.85,Bottom,0
C25,10uF,R0805,26.352,78.74,Bottom,270
C26,10uF,R0805,6.985,89.535,Bottom,0
C27,100nF,RESISTOR_0603,24.448,78.74,Bottom,270
C28,100nF,RESISTOR_0603,6.985,87.63,Bottom,0
C29,100nF,RESISTOR_0603,40.64,75.565,Bottom,0
C3,10uF,R0805,33.02,66.04,Bottom,90
C30,100nF,RESISTOR_0603,40.64,71.755,Bottom,0
C31,10uF,R0805,18.415,93.345,Bottom,180
C32,10uF,R0805,18.415,79.375,Bottom,180
C33,100nF,RESISTOR_0603,75.565,45.085,Bottom,180
C34,10uF,R1210,46.355,29.21,Bottom,0
C35,100nF,RESISTOR_0603,79.375,45.085,Bottom,0
C36,1000uF,PANASONIC_G,31.75,45.72,Bottom,180
C37,100nF,RESISTOR_0603,77.47,62.865,Bottom,0
C38,22uF,1206_POL,42.545,52.07,Bottom,0
C39,22uF,1206_POL,59.055,48.895,Bottom,270
C4,18pF,RESISTOR_0603,22.543,60.96,Bottom,270
C40,10uF,R0805,46.355,37.465,Bottom,180
C41,100nF,RESISTOR_0603,41.91,55.245,Bottom,180
C42,22uF,1206_POL,59.055,41.275,Bottom,270
C43,1uF,RESISTOR_0603,49.53,21.59,Bottom,270
C44,100nF,RESISTOR_0603,55.88,33.02,Bottom,180
C45,1uF,RESISTOR_0603,53.34,21.59,Bottom,270
C46,100nF,RESISTOR_0603,51.435,21.59,Bottom,270
C47,100nF,RESISTOR_0603,34.29,54.61,Bottom,270
C48,100nF,RESISTOR_0603,55.88,54.61,Bottom,270
C49,1nF,RESISTOR_0603,36.83,20.955,Bottom,0
C5,18pF,RESISTOR_0603,22.701,69.215,Bottom,90
C50,1nF,RESISTOR_0603,41.91,20.955,Bottom,180
C51,1nF,RESISTOR_0603,62.23,20.955,Bottom,0
C52,1nF,RESISTOR_0603,67.31,20.955,Bottom,180
C53,1nF,RESISTOR_0603,41.91,6.985,Bottom,180
C54,1nF,RESISTOR_0603,36.83,6.985,Bottom,0
C55,1nF,RESISTOR_0603,62.23,6.985,Bottom,0
C56,1nF,RESISTOR_0603,67.31,6.985,Bottom,180
C57,100nF,RESISTOR_0603,39.37,19.685,Bottom,270
C58,100nF,RESISTOR_0603,64.77,19.685,Bottom,270
C6,1uF,RESISTOR_0603,81.28,67.31,Bottom,180
C7,18pF,RESISTOR_0603,76.2,20.955,Bottom,180
C8,18pF,RESISTOR_0603,78.74,6.985,Bottom,0
C9,220pF,RESISTOR_0603,19.685,48.26,Bottom,180
D1,,SOD123,64.135,48.895,Bottom,90
D2,,SOD123,64.135,41.275,Bottom,90
F1,FERRITE-BEAD0805,R0805,61.595,48.895,Bottom,90
F2,FERRITE-BEAD0805,R0805,61.595,41.275,Bottom,270
H1,PCB_SCREW,PCB_SCREW,86.653,104.315,Top,0
H2,PCB_SCREW,PCB_SCREW,45.65,63.24,Top,0
H3,PCB_SCREW,PCB_SCREW,4.647,69.974,Top,0
H4,PCB_SCREW,PCB_SCREW,86.653,69.974,Top,0
H5,PCB_SCREW,PCB_SCREW,4.647,104.315,Top,0
IC1,MIC803,SOT23,81.28,70.485,Bottom,0
IC10,MCP6004,TSSOP14,39.37,13.97,Bottom,180
IC11,MCP6004,TSSOP14,64.77,13.97,Bottom,180
IC2,TL072,SOIC8,13.97,40.64,Bottom,270
IC3,TL072,SOIC8,77.47,13.97,Bottom,180
IC4,WM8731,SSOP28,33.02,73.66,Bottom,270
IC5,ESP32-WROVER-B,ESP32-WROVER-B,64.929,87.63,Bottom,90
IC6,CP2102N,CP2102N,77.47,57.15,Bottom,0
IC7,ADP7118,SOT23-5L,46.355,33.655,Bottom,0
IC8,WE173950378,WE78,45.72,43.18,Bottom,0
IC9,MCP3208,SOIC16,52.07,13.97,Bottom,0
J1,THONKICONN,PROTOJACK,7.469,6.396,Top,180
J10,THONKICONN,PROTOJACK,45.65,6.396,Top,180
J11,THONKICONN,PROTOJACK,58.379,19.096,Top,180
J12,THONKICONN,PROTOJACK,71.106,19.096,Top,180
J13,THONKICONN,PROTOJACK,58.379,6.396,Top,180
J14,THONKICONN,PROTOJACK,71.106,6.396,Top,180
J2,THONKICONN,PROTOJACK,7.469,19.096,Top,180
J3,THONKICONN,PROTOJACK,83.831,6.396,Top,180
J4,THONKICONN,PROTOJACK,83.831,19.096,Top,180
J5,THONKICONN,PROTOJACK,20.198,19.096,Top,180
J6,THONKICONN,PROTOJACK,20.198,6.396,Top,180
J7,THONKICONN,PROTOJACK,32.925,19.096,Top,180
J8,THONKICONN,PROTOJACK,45.65,19.096,Top,180
J9,THONKICONN,PROTOJACK,32.925,6.396,Top,180
L1,LED5MM,LED_5MM,45.65,54.846,Top,0
P1,SD-CARD,SD-CARD-THONK,3.494,87.88,Top,90
P2,USB-B,USB-B-MOLEX-1050170001,86.225,61.595,Bottom,270
P3,MSP2202_DISPLAY,MSP2202_DISPLAY,45.65,87.461,Top,0
P4,POWER_SIMPLE10,POWER_10,68.58,45.085,Bottom,90
POT1,,POT_DUAL_THONK,13.833,54.846,Top,0
POT2,,ALPS_POT_VERTICAL,13.833,35.584,Top,0
POT3,,ALPS_POT_VERTICAL,35.047,35.584,Top,0
POT4,,ALPS_POT_VERTICAL,56.261,35.584,Top,0
POT5,,ALPS_POT_VERTICAL,77.474,35.584,Top,0
Q1,,HC49UP,18.731,65.095,Bottom,90
Q2,SS8050-G,SOT23,64.135,64.135,Bottom,0
Q3,SS8050-G,SOT23,67.945,64.135,Bottom,0
Q4,SS8050-G,SOT23,71.755,64.135,Bottom,0
Q5,SS8050-G,SOT23,24.765,17.78,Bottom,0
Q6,SS8050-G,SOT23,24.765,5.08,Bottom,0
R1,39k,RESISTOR_0603,76.2,24.765,Bottom,180
R10,39k,RESISTOR_0603,76.2,19.05,Bottom,0
R11,39k,RESISTOR_0603,78.74,8.89,Bottom,180
R12,1k,RESISTOR_0603,73.66,13.97,Bottom,270
R13,1k,RESISTOR_0603,81.28,13.97,Bottom,90
R14,5.6k,RESISTOR_0603,19.685,44.45,Bottom,0
R15,5.6k,RESISTOR_0603,8.255,44.45,Bottom,180
R16,5.6k,RESISTOR_0603,19.685,46.355,Bottom,0
R17,5.6k,RESISTOR_0603,8.255,46.355,Bottom,180
R18,10k,RESISTOR_0603,23.654,102.394,Bottom,90
R19,22.1k,RESISTOR_0603,83.185,62.865,Bottom,180
R2,39k,RESISTOR_0603,78.74,3.175,Bottom,0
R20,10k,RESISTOR_0603,21.749,102.394,Bottom,90
R21,47.5k,RESISTOR_0603,83.185,64.77,Bottom,0
R22,10k,RESISTOR_0603,19.844,102.394,Bottom,90
R23,10k,RESISTOR_0603,17.939,102.394,Bottom,90
R24,10k,RESISTOR_0603,77.47,52.07,Bottom,90
R25,10k,RESISTOR_0603,64.135,59.69,Bottom,270
R26,10k,RESISTOR_0603,67.945,59.69,Bottom,270
R27,10k,RESISTOR_0603,71.755,59.69,Bottom,270
R28,10k,RESISTOR_0603,75.565,43.18,Bottom,180
R29,10k,RESISTOR_0603,79.375,43.18,Bottom,0
R3,10k,RESISTOR_0603,81.28,73.66,Bottom,180
R30,10,R2512,55.245,46.99,Bottom,90
R31,10k,RESISTOR_0603,77.47,64.77,Bottom,0
R32,68,RESISTOR_0603,45.72,57.785,Bottom,0
R33,220,RESISTOR_0603,55.88,41.275,Bottom,90
R34,100k,RESISTOR_0603,24.765,14.605,Bottom,0
R35,100k,RESISTOR_0603,24.765,1.905,Bottom,0
R36,10k,RESISTOR_0603,24.765,22.225,Bottom,270
R37,10k,RESISTOR_0603,24.765,9.525,Bottom,270
R38,180k,RESISTOR_0603,36.83,22.86,Bottom,180
R39,100k,RESISTOR_0603,36.83,24.765,Bottom,180
R4,22k,RESISTOR_0603,19.685,40.64,Bottom,180
R40,180k,RESISTOR_0603,41.91,22.86,Bottom,0
R41,100k,RESISTOR_0603,41.91,24.765,Bottom,0
R42,200k,RESISTOR_0603,62.23,22.86,Bottom,180
R43,100k,RESISTOR_0603,62.23,24.765,Bottom,180
R44,200k,RESISTOR_0603,67.31,22.86,Bottom,0
R45,100k,RESISTOR_0603,67.31,24.765,Bottom,0
R46,47k,RESISTOR_0603,36.83,19.05,Bottom,0
R47,47k,RESISTOR_0603,41.91,19.05,Bottom,180
R48,66.5k,RESISTOR_0603,62.23,19.05,Bottom,0
R49,66.5k,RESISTOR_0603,67.31,19.05,Bottom,180
R5,22k,RESISTOR_0603,8.255,38.735,Bottom,0
R50,200k,RESISTOR_0603,41.91,5.08,Bottom,0
R51,100k,RESISTOR_0603,41.91,3.175,Bottom,0
R52,200k,RESISTOR_0603,36.83,5.08,Bottom,180
R53,100k,RESISTOR_0603,36.83,3.175,Bottom,180
R54,200k,RESISTOR_0603,62.23,5.08,Bottom,180
R55,100k,RESISTOR_0603,62.23,3.175,Bottom,180
R56,200k,RESISTOR_0603,67.31,5.08,Bottom,0
R57,100k,RESISTOR_0603,67.31,3.175,Bottom,0
R58,33k,RESISTOR_0603,41.91,8.89,Bottom,180
R59,33k,RESISTOR_0603,36.83,8.89,Bottom,0
R6,5.6k,RESISTOR_0603,76.2,22.86,Bottom,180
R60,66.5k,RESISTOR_0603,62.23,8.89,Bottom,0
R61,66.5k,RESISTOR_0603,67.31,8.89,Bottom,180
R7,5.6k,RESISTOR_0603,78.74,5.08,Bottom,0
R8,3.3k,RESISTOR_0603,19.685,42.545,Bottom,0
R9,3.3k,RESISTOR_0603,8.255,40.64,Bottom,180
SJ1,,SJ,18.415,76.835,Bottom,180
SW1,ENCODER,ALPS_EC12E_SW,77.474,54.846,Top,0
SW2,C&K_TACTILE_SWITCH,C&K_TACTILE_SWITCH,35.047,54.846,Top,0
SW3,C&K_TACTILE_SWITCH,C&K_TACTILE_SWITCH,56.261,54.846,Top,0
U1,LM4040SOT23,SOT23,55.88,36.195,Bottom,0
