Qty,Value,Device/Package,Designators
1,,ADP7118,IC7
2,,C&K_TACTILE_SWITCH,SW2 SW3
21,100nF,CAPACITOR,C14 C16 C17 C18 C19 C20 C22 C27 C28 C29 C30 C33 C35 C37 C41 C44 C46 C47 C48 C57 C58
4,18pF,CAPACITOR,C4 C5 C7 C8
8,1nF,CAPACITOR,C49 C50 C51 C52 C53 C54 C55 C56
3,1uF,CAPACITOR,C43 C45 C6
2,220pF,CAPACITOR,C10 C9
15,10uF,CAPACITOR0805,C1 C11 C12 C13 C15 C2 C21 C23 C24 C25 C26 C3 C31 C32 C40
1,10uF,CAPACITOR1210,C34
3,22uF,CAP_POL1206_TANT,C38 C39 C42
1,1000uF,CAP_POLG,C36
1,,CP2102N,IC6
1,,CRYSTAL,Q1
2,,DIODE,D1 D2
1,,ENCODER,SW1
1,,ESP32-WROVER-B,IC5
2,FERRITE-BEAD0805,FERRITE-BEAD0805,F1 F2
1,,LED5MM,L1
1,,LM4040SOT23,U1
1,,MCP3208,IC9
1,,MIC803,IC1
5,SS8050-G,MMBT3904SOT23,Q2 Q3 Q4 Q5 Q6
1,,MSP2202_DISPLAY,P3
2,TL072,OPAMP_DUAL,IC2 IC3
2,MCP6004,OPAMP_QUADPWR,IC10 IC11
5,,PCB_SCREW,H1 H2 H3 H4 H5
1,,POT_DUAL_THONK,POT1
4,,POT_VERTICAL,POT2 POT3 POT4 POT5
1,,POWER_SIMPLE10,P4
10,100k,RESISTOR,R34 R35 R39 R41 R43 R45 R51 R53 R55 R57
14,10k,RESISTOR,R18 R20 R22 R23 R24 R25 R26 R27 R28 R29 R3 R31 R36 R37
2,180k,RESISTOR,R38 R40
2,1k,RESISTOR,R12 R13
6,200k,RESISTOR,R42 R44 R50 R52 R54 R56
1,22.1k,RESISTOR,R19
1,220,RESISTOR,R33
2,22k,RESISTOR,R4 R5
2,3.3k,RESISTOR,R8 R9
2,33k,RESISTOR,R58 R59
4,39k,RESISTOR,R1 R10 R11 R2
1,47.5k,RESISTOR,R21
2,47k,RESISTOR,R46 R47
6,5.6k,RESISTOR,R14 R15 R16 R17 R6 R7
4,66.5k,RESISTOR,R48 R49 R60 R61
1,68,RESISTOR,R32
1,10,RESISTOR2512,R30
1,,SD-CARD,P1
1,,SJ,SJ1
14,,THONKICONN,J1 J10 J11 J12 J13 J14 J2 J3 J4 J5 J6 J7 J8 J9
1,,USB-B,P2
1,,WE173950378,IC8
1,,WM8731,IC4
